,0,1
948,"Nuggets at Thunder: Key injuries
Nuggets",27
949," 	SG Will Barton (knee) questionable
 	C Bol Bol (foot) out",28
950,Thunder,29
951," 	SF Darius Bazley (knee) out
 	SF Andre Roberson (knee) out",30
952,"Nuggets at Thunder: Odds, lines, picks and betting tips
NBA odds courtesy of BetMGM; access USA TODAY Sports for a full set of...",31
953,"



",32
954,"
				© Copyright USA TODAY Sportsbook Wire 2020",33
955,USA TODAY Sportsbook Wire is proudly owned and operated by,34
956,"



",35
957,Powered by WordPress.com VIP,36
958,"
			Please enter an email address.		",37
959,Thanks for signing up.,38
960,Please check your email for a confirmation.,39
961,"
			Something went wrong.		",40
962,Oklahoma City Thunder Isaiah Roby. Copyright 2020 NBAE (Photo by Tim Heitman/NBAE via Getty Images),1
963,"The Dallas Mavericks, in what is a precursor for another move, traded rookie forward Isaiah Roby to the Oklahoma City Thunder in exchange for center Justin Patton.",2
964,"Roby was taken by the Detroit Pistons with the 45th overall pick last June and was sent to the Mavericks in a trade six days later along with the Utah Jazz 2020 second-round pick and the Portland Trail Blazers 2021 second-round pick in exchange for the rights to Lithuanian wing Deividas Sirvydis, who was chosen 37th overall by Dallas.",3
965,"Patton is in his third NBA season and Dallas will be his fifth organization since he was selected 16th overall by the Chicago Bulls in the 2017 NBA Draft. Slowed by a troublesome left foot that cost him most of his first two years in the NBA, Patton has spent most of this season with the Thunder’s G League affiliate, the Oklahoma City Blue.",4
966,Shams Charania of The Athletic was first to report the deal.,5
967,"Dallas is trading forward Isaiah Roby to Oklahoma City for Justin Patton and cash consideration, league sources tell @TheAthleticNBA @Stadium.",6
968,"— Shams Charania (@ShamsCharania) January 24, 2020",7
969,,8
970,"Tim Cato, who covers the Mavericks for The Athletic, reported Dallas doesn’t plan on retaining Patton. Instead the club is clearing roster space, either to sign a free agent to provide frontcourt depth after Dwight Powell went down with a ruptured Achilles on Tuesday or to make a trade in which the Mavericks will be taking in more players than they are sending out.",9
971,"it doesn't sound like Dallas is gonna keep Patton, per source. this is a roster clearing move. https://t.co/mX49QIpTA6",10
972,"— Tim Cato (@tim_cato) January 24, 2020",11
973,,12
974,"Based on what was reported later Friday evening by ESPN’s Adrian Wojnarowski, this will indeed be the case. Wojnarowski is reporting the Mavericks are finalizing a deal to get center Willie Cauley-Stein from the Golden State Warriors.",13
975,"Golden State is finalizing a deal to trade C Willie Cauley-Stein to Dallas, league sources tell ESPN.",14
976,"— Adrian Wojnarowski (@wojespn) January 24, 2020",15
977,,16
978,"It’s the second trade in the NBA this week, after the Trail Blazers and Sacramento Kings swapped role players Kent Bazemore and Anthony Tolliver for Trevor Ariza and a couple of deep roster big men in Wenyen Gabriel and Caleb Swanigan.",17
979,"The trade was the fourth since the regular season opened in October, with the Feb. 6 trade deadline now less than two weeks away.",18
980,Here’s how the trade grades out.,19
981,,20
982,"Build your custom FanSided Daily email newsletter with news and analysis on Hoops Habit and all your favorite sports teams, TV shows, and more.",21
983,"Your privacy is safe with us. We'll never pass along your email address to spammers, scammers, or the like.",22
984,"Your favorite teams, topics, and players all on your favorite mobile devices.",23
985,© 2020 FanSided Inc. All Rights Reserved.,24
986,by Phil Watson,25
987,by Scott Polacek,26
988,by Phil Watson,27
989,by Phil Watson,28
990,Oklahoma City Thunder Isaiah Roby. Copyright 2020 NBAE (Photo by Tim Heitman/NBAE via Getty Images),1
991,"The Dallas Mavericks, in what is a precursor for another move, traded rookie forward Isaiah Roby to the Oklahoma City Thunder in exchange for center Justin Patton.",2
992,"Roby was taken by the Detroit Pistons with the 45th overall pick last June and was sent to the Mavericks in a trade six days later along with the Utah Jazz 2020 second-round pick and the Portland Trail Blazers 2021 second-round pick in exchange for the rights to Lithuanian wing Deividas Sirvydis, who was chosen 37th overall by Dallas.",3
993,"Patton is in his third NBA season and Dallas will be his fifth organization since he was selected 16th overall by the Chicago Bulls in the 2017 NBA Draft. Slowed by a troublesome left foot that cost him most of his first two years in the NBA, Patton has spent most of this season with the Thunder’s G League affiliate, the Oklahoma City Blue.",4
994,Shams Charania of The Athletic was first to report the deal.,5
995,"Dallas is trading forward Isaiah Roby to Oklahoma City for Justin Patton and cash consideration, league sources tell @TheAthleticNBA @Stadium.",6
996,"— Shams Charania (@ShamsCharania) January 24, 2020",7
997,,8
998,"Tim Cato, who covers the Mavericks for The Athletic, reported Dallas doesn’t plan on retaining Patton. Instead the club is clearing roster space, either to sign a free agent to provide frontcourt depth after Dwight Powell went down with a ruptured Achilles on Tuesday or to make a trade in which the Mavericks will be taking in more players than they are sending out.",9
999,"it doesn't sound like Dallas is gonna keep Patton, per source. this is a roster clearing move. https://t.co/mX49QIpTA6",10
1000,"— Tim Cato (@tim_cato) January 24, 2020",11
1001,,12
1002,"Based on what was reported later Friday evening by ESPN’s Adrian Wojnarowski, this will indeed be the case. Wojnarowski is reporting the Mavericks are finalizing a deal to get center Willie Cauley-Stein from the Golden State Warriors.",13
1003,"Golden State is finalizing a deal to trade C Willie Cauley-Stein to Dallas, league sources tell ESPN.",14
1004,"— Adrian Wojnarowski (@wojespn) January 24, 2020",15
1005,,16
1006,"It’s the second trade in the NBA this week, after the Trail Blazers and Sacramento Kings swapped role players Kent Bazemore and Anthony Tolliver for Trevor Ariza and a couple of deep roster big men in Wenyen Gabriel and Caleb Swanigan.",17
1007,"The trade was the fourth since the regular season opened in October, with the Feb. 6 trade deadline now less than two weeks away.",18
1008,Here’s how the trade grades out.,19
1009,,20
1010,"Build your custom FanSided Daily email newsletter with news and analysis on Hoops Habit and all your favorite sports teams, TV shows, and more.",21
1011,"Your privacy is safe with us. We'll never pass along your email address to spammers, scammers, or the like.",22
1012,"Your favorite teams, topics, and players all on your favorite mobile devices.",23
1013,© 2020 FanSided Inc. All Rights Reserved.,24
1014,by Phil Watson,25
1015,by Scott Polacek,26
1016,by Phil Watson,27
1017,by Phil Watson,28
1018,Filed under:,1
1019,"We examine the Thunder going into the All-Star Break, looking at some futures betting lines, injuries and one player to watch in fantasy basketball. ",2
1020,"The NBA Trade Deadline and All-Star Weekend have come and gone, so that means we’re in the home stretch of the 2019-20 NBA season. In this serious post-All-Star Break, we’ll go over the outlook for every team in the NBA. Here, we’ll provide a short glimpse at championship odds and playoff chances for each team on DraftKings Sportsbook. Also highlighted are key injuries to note and a fantasy basketball player to watch the rest of the season. ",3
1021,Record: 33-22Playoff Chances: 100%Championship Odds: +15000Division Odds: +900Conference Championship winner: +80006th Man Odds: Dennis Schroder (+200)Most Improved Player Odds: Shai Gilgeous-Alexander (+650),4
1022,"OKC entered the All-Star Break in a much better position than anybody really envisioned at the beginning of the season. Chris Paul has worked out with the Thunder so far and the team is in position to secure a playoff berth despite losing Russell Westbrook and Paul George. Pretty incredible. The issue is making the playoffs in the West outside of the top 4 seeds seems pointless. The Thunder will likely need to face either the Clippers, Nuggets or Jazz in the first round. Can they give any of those teams a series? Sure. Can they win said series? The odds are slim. The Thunder lack depth and size in the front court, which would cause issues against any team other than the Rockets. Ultimately, OKC will still be looking to the future, which is bright considering how well Shai Gilgeous-Alexander has looked. ",5
1023,Prediction: Thunder secure the No. 7 seed and lose in the first round. ,6
1024,"Darius Bazley, SF (knee) — out indefinitelyAndre Roberson, SG (knee) — out indefinitely",7
1025,"The Thunder aren’t going through any major injuries down the stretch, which should help them keep ground in the playoff seeding. Bazley has shown some promise this season as a serviceable big/wing player. He’s expected to be out until March at the earliest. Roberson has no timetable for a return from his knee injury and may be held out the rest of the year. Neither player contributes much, but again, it’s an issue of depth. The Thunder should be fine with the rotation they have, but if Nerlens Noel or Steven Adams were to miss extended time, that wouldn’t be good. Both players have dealt with various injuries all season and are at risk. ",8
1026,"We all know about the three-headed guard trio the Thunder roll out, but like I’ve mentioned, the front court is lacking. This makes Noel’s role even more important and he’s actually bounced back nicely this season when healthy. In 46 games, he’s averaging 7.8 points, 5.2 rebounds and 1.5 blocks in 18.7 minutes per contest. If we stretch that out a bit, it’s 15.1 points, 9.9 rebounds, 2.8 blocks and 2.0 steals per 36 minutes. If Noel can start getting around the 25-30 minutes per game, his fantasy value could really spike down the stretch and into the fantasy basketball playoffs. I’d put Noel on my season-long radar moving forward if I were in need of defensive stats and rebounds. ",9
1027,Gambling problem? Call 1-800-GAMBLER (NJ/WV/PA) or 1-800-9-WITH-IT (IN) or 1-800-522-4700 (NH). NH/NJ/WV/IN/PA only. 21+ (18+ NH). Eligibility Restrictions Apply. See website for details.,10
1028,,11
1029,Filed under:,1
1030,"We examine the Thunder going into the All-Star Break, looking at some futures betting lines, injuries and one player to watch in fantasy basketball. ",2
1031,"The NBA Trade Deadline and All-Star Weekend have come and gone, so that means we’re in the home stretch of the 2019-20 NBA season. In this serious post-All-Star Break, we’ll go over the outlook for every team in the NBA. Here, we’ll provide a short glimpse at championship odds and playoff chances for each team on DraftKings Sportsbook. Also highlighted are key injuries to note and a fantasy basketball player to watch the rest of the season. ",3
1032,Record: 33-22Playoff Chances: 100%Championship Odds: +15000Division Odds: +900Conference Championship winner: +80006th Man Odds: Dennis Schroder (+200)Most Improved Player Odds: Shai Gilgeous-Alexander (+650),4
1033,"OKC entered the All-Star Break in a much better position than anybody really envisioned at the beginning of the season. Chris Paul has worked out with the Thunder so far and the team is in position to secure a playoff berth despite losing Russell Westbrook and Paul George. Pretty incredible. The issue is making the playoffs in the West outside of the top 4 seeds seems pointless. The Thunder will likely need to face either the Clippers, Nuggets or Jazz in the first round. Can they give any of those teams a series? Sure. Can they win said series? The odds are slim. The Thunder lack depth and size in the front court, which would cause issues against any team other than the Rockets. Ultimately, OKC will still be looking to the future, which is bright considering how well Shai Gilgeous-Alexander has looked. ",5
1034,Prediction: Thunder secure the No. 7 seed and lose in the first round. ,6
1035,"Darius Bazley, SF (knee) — out indefinitelyAndre Roberson, SG (knee) — out indefinitely",7
1036,"The Thunder aren’t going through any major injuries down the stretch, which should help them keep ground in the playoff seeding. Bazley has shown some promise this season as a serviceable big/wing player. He’s expected to be out until March at the earliest. Roberson has no timetable for a return from his knee injury and may be held out the rest of the year. Neither player contributes much, but again, it’s an issue of depth. The Thunder should be fine with the rotation they have, but if Nerlens Noel or Steven Adams were to miss extended time, that wouldn’t be good. Both players have dealt with various injuries all season and are at risk. ",8
1037,"We all know about the three-headed guard trio the Thunder roll out, but like I’ve mentioned, the front court is lacking. This makes Noel’s role even more important and he’s actually bounced back nicely this season when healthy. In 46 games, he’s averaging 7.8 points, 5.2 rebounds and 1.5 blocks in 18.7 minutes per contest. If we stretch that out a bit, it’s 15.1 points, 9.9 rebounds, 2.8 blocks and 2.0 steals per 36 minutes. If Noel can start getting around the 25-30 minutes per game, his fantasy value could really spike down the stretch and into the fantasy basketball playoffs. I’d put Noel on my season-long radar moving forward if I were in need of defensive stats and rebounds. ",9
1038,Gambling problem? Call 1-800-GAMBLER (NJ/WV/PA) or 1-800-9-WITH-IT (IN) or 1-800-522-4700 (NH). NH/NJ/WV/IN/PA only. 21+ (18+ NH). Eligibility Restrictions Apply. See website for details.,10
1039,,11
1040,"OKLAHOMA CITY - Chris Paul gets annoyed when the topic of the Thunder's ""surprising"" success comes up.",1
1041,"Expectations for Oklahoma City were low for many after an offseason during which the Thunder collected draft picks, traded Russell Westbrook to the Houston Rockets for Paul and sent Paul George to the Los Angeles Clippers for Shai Gilgeous-Alexander and Danilo Gallinari.",2
1042,Many weren't sure if Oklahoma City's new players would function well together - or if the group would stay together.,3
1043,"It also wasn't clear if Paul could perform at an elite level at age 34, or if he could stay healthy. But Paul has embraced what appeared to be an undesirable situation and was named an All-Star for the 10th time. The Thunder not only stayed intact but come out of the All-Star break sixth in the Western Conference and firmly in the playoff race.",4
1044,"Asked what skeptics might have missed when projecting Oklahoma City to be one of the worst teams in the league, Paul bluntly said, ""That I was here.""",5
1045,Paul also isn't satisfied with Oklahoma City's 33-22 record going into Friday's home game against Denver.,6
1046,"""I expected the record to be better, you know what I mean?"" he said. ""I expect to win every night. I'm not as surprised as y'all are, I guess. I'm just not.""",7
1047,"He missed being that clutch player while deferring to James Harden in Houston. Now that he's the man again, he earned his way to being named an All-Star for the first time since 2016.",8
1048,"""That's why you play these games,"" Paul said. ""For that adrenaline.""",9
1049,"Paul immediately established himself as a leader. He had the team fitted for custom suits, and before a December game against Memphis, the players walked into Chesapeake Energy Arena wearing them. The Thunder overcame a 24-point deficit that night to win 126-122.",10
1050,Paul's team-building efforts have carried over onto the court.,11
1051,"""He's one of the top point guards to ever play this game,"" Thunder guard Dennis Schroder said. ""He changed the culture here as well -- how we're playing together as a team. He's talking to every one of us every time during games, practices. Even if you're off the court, he talks to us. A leader in this group.""",12
1052,"In some ways, Paul's 15th season has been one of his best. He is shooting 55% on 2-point shots, the highest mark of his career. He is shooting 89.8% from the free-throw line, which would be his second-highest percentage for a season. He averages 17.4 points, 6.7 assists and 5.0 rebounds per game.",13
1053,"""I think it speaks to him from the standpoint of just how diligent he is and how driven and motivated he is to try to get every once out of his own ability, from dieting to training to working out to shooting,"" coach Billy Donovan said.",14
1054,"Paul kept rolling by posting 23 points and six assists in the All-Star Game. He wasn't chosen as a starter, but Team LeBron coach Frank Vogel had him in at the end.",15
1055,"""It's about working hard, and it's the analytics and the statistics that say at this age you can do this or you can do that -- look at my brother Bron (LeBron James),"" Paul said after the game. ""Every year, they say he's going to slow down, right? And then what? So I think it's more about competing with yourself and not worry about what everybody else is saying.""",16
1056,"For as much as Paul's play has stood out, he's happy to see others succeeding. He loves the fact that the Thunder don't really have a standout player. Gilgeous-Alexander is a rising star in his second year, averaging 19.5 points and 6.1 rebounds per game. Gallinari, a veteran forward, is averaging 19.3 points and 5.7 rebounds. Schroder is averaging 19.3 points and 4.0 assists and is a top contender for Sixth Man of the Year. Steven Adams is averaging 10.7 points and 9.3 rebounds.",17
1057,"""They probably, other than Memphis, they have probably been the most surprising team in the league,"" Pelicans coach Alvin Gentry said. ""They just have a way of hanging in games and closing them. They've got guys like (Danilo) Gallinari, Chris Paul, and (Dennis) Schroder -- all of those guys have been in positions where they've closed games, and that's exactly what they did.""",18
1058,Paul likes it that way.,19
1059,"""Everything is by committee,"" he said. ""I think our coaches do a great job of engaging us. We've just got a really great group of guys. Obviously, winning games helps that.""",20
1060,"
        More Articles to Read
      ",21
1061,"

			More Obituaries			

",22
1062,"
            36 W Liberty St, Sumter, SC 29150
803-774-1200
webmaster@theitem.com
",23
1063,"San Antonio Spurs (24-31, 10th in the Western Conference) vs. Oklahoma City Thunder (34-22, sixth in the Western Conference)",1
1064,"Oklahoma City; Sunday, 7 p.m. EST",2
1065,BOTTOM LINE: Chris Paul and the Oklahoma City Thunder host DeMar DeRozan and the San Antonio Spurs in Western Conference action.,3
1066,The Thunder have gone 23-14 against Western Conference opponents. Oklahoma City averages 13.5 turnovers per game and is 18-7 when it wins the turnover battle.,4
1067,The Spurs are 14-19 in Western Conference play. San Antonio averages 45.1 rebounds per game and is 7-19 when opponents win the rebound battle.,5
1068,The Spurs won the last meeting between these two squads 114-106 on Feb. 11. LaMarcus Aldridge scored 25 points to help lead San Antonio to the win.,6
1069,TOP PERFORMERS: Paul is shooting 48.9 percent and averaging 17.6 points. Danilo Gallinari is averaging 2.2 made 3-pointers and 17.7 points over the last 10 games for Oklahoma City.,7
1070,DeRozan leads the Spurs scoring 22.9 points and collecting 5.6 rebounds. Aldridge has averaged 14.7 points and 6.5 rebounds while shooting 34.4 percent over the last 10 games for San Antonio.,8
1071,"LAST 10 GAMES: Thunder: 7-3, averaging 111.1 points, 42.2 rebounds, 22.3 assists, 7.9 steals and 4.7 blocks per game while shooting 46.7 percent from the field. Their opponents have averaged 106.7 points on 45.9 percent shooting.",9
1072,"Spurs: 4-6, averaging 112.3 points, 41 rebounds, 23.6 assists, 7.4 steals and 4.3 blocks per game while shooting 47.6 percent from the field. Their opponents have averaged 114.1 points on 48.7 percent shooting.",10
1073,"INJURIES: Thunder: Darius Bazley: out (knee), Deonte Burton: day to day (illness), Andre Roberson: out (knee).",11
1074,Spurs: None listed.,12
1075,___,13
1076,The Associated Press created this story using technology provided by Data Skrive and data from Sportradar.,14
1077," 5600 Avenue ALubbock, TX. 79404(806) 744-1414 ",15
1078,"The Miami Heat, according to reports, have acquired Andre Iguodala from the Memphis Grizzlies for Justise Winslow, but they may not be done dealing.",1
1079,"The Heat are also looking to obtain Danilo Gallinari from the Oklahoma City Thunder, and incorporate him as part of the Iguodala trade.",2
1080,"Miami, Memphis and Oklahoma City are working on an elaborate three-team deal that would land the Heat both Andre Iguodala and Danilo Gallinari, league sources tell ESPN. Talks are ongoing and could extend into Thursday, sources  said.",3
1081,"— Adrian Wojnarowski (@wojespn) February 6, 2020",4
1082,,5
1083,"By himself, Iguodala will be a boon to the Heat, as long as he continues to play at the level he’s been at the past few years. Iguodala, 36, is a two-time NBA All-Defensive team selection and the 2015 NBA Finals MVP.",6
1084,The fact that he’s played in five consecutive championship series and has won three NBA titles will greatly help a young Heat team come playoff time.,7
1085,"Gallinari, 31, could add some additional scoring punch, as he’s averaging 19.2 points a game this season. A career 38.0 percent 3-point shooter who’s making 41.0 percent of his treys this season, he could fit in very well with Miami’s offensive scheme.",8
1086,"The Heat are already second in the NBA in 3-point shooting accuracy at 38.0 percent. However, they’re just 14th in the league in scoring at 112.3 points per game.",9
1087,"
You must be logged in to post a comment	
Login	",10
1088,"Robert is a native of Santa Monica, Calif. and a graduate of the University of California, Santa Barbara. He has been an avid NBA fan since he was a little kid in the mid '90s, and during that time he has lived through the Alonzo Mourning, Dwyane Wade and LeBron James era of Heat basketball. He feels strongly that the NBA and sports aren't just entertainment, but also a means for learning life lessons.",11
1089,"After getting ridiculed by Miami Heat star Jimmy Butler on social media two months ago, Atlanta Hawks guard Trae...",12
1090,"Copyright © 2013 Heat Nation, All Rights Reserved. Property of Ahn Fire Digital. Partner with USA Today Sports Digital Properties. Privacy Policy",13
1091,"The Miami Heat, according to reports, have acquired Andre Iguodala from the Memphis Grizzlies for Justise Winslow, but they may not be done dealing.",1
1092,"The Heat are also looking to obtain Danilo Gallinari from the Oklahoma City Thunder, and incorporate him as part of the Iguodala trade.",2
1093,"Miami, Memphis and Oklahoma City are working on an elaborate three-team deal that would land the Heat both Andre Iguodala and Danilo Gallinari, league sources tell ESPN. Talks are ongoing and could extend into Thursday, sources  said.",3
1094,"— Adrian Wojnarowski (@wojespn) February 6, 2020",4
1095,,5
1096,"By himself, Iguodala will be a boon to the Heat, as long as he continues to play at the level he’s been at the past few years. Iguodala, 36, is a two-time NBA All-Defensive team selection and the 2015 NBA Finals MVP.",6
1097,The fact that he’s played in five consecutive championship series and has won three NBA titles will greatly help a young Heat team come playoff time.,7
1098,"Gallinari, 31, could add some additional scoring punch, as he’s averaging 19.2 points a game this season. A career 38.0 percent 3-point shooter who’s making 41.0 percent of his treys this season, he could fit in very well with Miami’s offensive scheme.",8
1099,"The Heat are already second in the NBA in 3-point shooting accuracy at 38.0 percent. However, they’re just 14th in the league in scoring at 112.3 points per game.",9
1100,"
You must be logged in to post a comment	
Login	",10
1101,"Robert is a native of Santa Monica, Calif. and a graduate of the University of California, Santa Barbara. He has been an avid NBA fan since he was a little kid in the mid '90s, and during that time he has lived through the Alonzo Mourning, Dwyane Wade and LeBron James era of Heat basketball. He feels strongly that the NBA and sports aren't just entertainment, but also a means for learning life lessons.",11
1102,"After getting ridiculed by Miami Heat star Jimmy Butler on social media two months ago, Atlanta Hawks guard Trae...",12
1103,"Copyright © 2013 Heat Nation, All Rights Reserved. Property of Ahn Fire Digital. Partner with USA Today Sports Digital Properties. Privacy Policy",13
1104,You don't have permission to access this resource.,1
1105,You don't have permission to access this resource.,1
1106,KFOR.com,1
1107,"OKLAHOMA CITY (KFOR) – While cheering on the Oklahoma City Thunder, fans will have the chance to honor and support the families of seven people killed in a tragic helicopter crash.",2
1108,"Last month, the world was shocked when a helicopter carrying NBA legend Kobe Bryant, his daughter, and seven others crashed into a hillside in California.",3
1109,Officials identified the victims as:,4
1110,"As the basketball community is still mourning the crash, the Oklahoma City Thunder is trying to help the families of the victims.",5
1111,"On Sunday, Home-Court Support and the families of the Oklahoma City Thunder players and staff will hold its annual shoe sale and raffle.",6
1112,Both new and player-worn shoes will be available in a grab-bag sale.,7
1113,"For $100, fans can purchase shoes in a blind pull. Officials say 25 pairs will be autographed by Thunder players, while 75 other pairs will be new.",8
1114,"For $5, fans can purchase a raffle ticket for a chance to win a gift basket inspired by each player’s favorite things. Each basket will also include two autographed items.",9
1115,"Proceeds from the sale and raffle will benefit the MambaOnThree Fund, which was set up by the Mamba Sports Foundation to honor and support the victims’ families. ",10
1116,The sale and raffle will begin at 1 p.m. on Sunday when Chesapeake Energy Arena opens for the game. The raffle and sale will end at the conclusion of the game.,11
1117,"
Submit 


",12
1118,,13
1119,"CHOCTAW (KFOR) – A 17-year-old boy was shot in the head, and police say a 23-year-old woman is to blame.",14
1120,"According to investigators, the bullet went straight through Mason Rodger’s brain, but doctors are stunned, saying his recovery is nothing short of a miracle.",15
1121,"OKLAHOMA CITY (KFOR) – A homeowner in southeast Oklahoma City is fighting with the city and his neighbor to get plastic posts removed from his neighbor’s yard, claiming they’re too close to the street. “It’s a public easement. It’s called a public easement for a reason,” said Donald Daugherty, who is upset over his neighbor’s posts. Daugherty has lived in his southeast Oklahoma City neighborhood for 30 years now, but…",16
1122,"MIDWEST CITY, Okla. (KFOR) – A Jarman Middle School student is recovering after allegedly being body slammed by his own teacher.",17
1123,"“He was crying. You could tell that his body was hurting. Mr. Heffington put his hands on my son and body slammed him to the ground,” said the student’s mom.",18
1124,KFOR.com,1
1125,"OKLAHOMA CITY (KFOR) – While cheering on the Oklahoma City Thunder, fans will have the chance to honor and support the families of seven people killed in a tragic helicopter crash.",2
1126,"Last month, the world was shocked when a helicopter carrying NBA legend Kobe Bryant, his daughter, and seven others crashed into a hillside in California.",3
1127,Officials identified the victims as:,4
1128,"As the basketball community is still mourning the crash, the Oklahoma City Thunder is trying to help the families of the victims.",5
1129,"On Sunday, Home-Court Support and the families of the Oklahoma City Thunder players and staff will hold its annual shoe sale and raffle.",6
1130,Both new and player-worn shoes will be available in a grab-bag sale.,7
1131,"For $100, fans can purchase shoes in a blind pull. Officials say 25 pairs will be autographed by Thunder players, while 75 other pairs will be new.",8
1132,"For $5, fans can purchase a raffle ticket for a chance to win a gift basket inspired by each player’s favorite things. Each basket will also include two autographed items.",9
1133,"Proceeds from the sale and raffle will benefit the MambaOnThree Fund, which was set up by the Mamba Sports Foundation to honor and support the victims’ families. ",10
1134,The sale and raffle will begin at 1 p.m. on Sunday when Chesapeake Energy Arena opens for the game. The raffle and sale will end at the conclusion of the game.,11
1135,"
Submit 


",12
1136,,13
1137,"CHOCTAW (KFOR) – A 17-year-old boy was shot in the head, and police say a 23-year-old woman is to blame.",14
1138,"According to investigators, the bullet went straight through Mason Rodger’s brain, but doctors are stunned, saying his recovery is nothing short of a miracle.",15
1139,"OKLAHOMA CITY (KFOR) – A homeowner in southeast Oklahoma City is fighting with the city and his neighbor to get plastic posts removed from his neighbor’s yard, claiming they’re too close to the street. “It’s a public easement. It’s called a public easement for a reason,” said Donald Daugherty, who is upset over his neighbor’s posts. Daugherty has lived in his southeast Oklahoma City neighborhood for 30 years now, but…",16
1140,"MIDWEST CITY, Okla. (KFOR) – A Jarman Middle School student is recovering after allegedly being body slammed by his own teacher.",17
1141,"“He was crying. You could tell that his body was hurting. Mr. Heffington put his hands on my son and body slammed him to the ground,” said the student’s mom.",18
1142,Chris Paul Oklahoma City Thunder (Photo by Michael Gonzales/NBAE via Getty Images),1
1143,"In an NBA offseason that saw the dynamic of the Oklahoma City Thunder drastically alter with the departure of two franchise cornerstones Russell Westbrook and Paul George, the organization was presumedly set to endure a prolonged rebuild.",2
1144,"The return hauls were something to marvel at, as the Thunder received two top-4 protected picks and two pick swaps from the Houston Rockets for Westbrook and Danilo Gallinari, Shai Gilgeous-Alexander and five first-round draft picks from the LA Clippers for George.",3
1145,"However, the immediate future had many questioning which direction the team would enter.",4
1146,Would they offload their veterans to contenders for returning assets to fuel the rebuild? Would they attempt to retool and acquire complementary assets around their youthful talent and perhaps the likes of Chris Paul? Or would they ride it out and hope for the best?,5
1147,"Well, 54 games in the 2019/20 NBA season, the Thunder opted to not do anything drastic—or anything at all at the trade deadline—and are riding this thing out. They’re sitting at 32-22, in sole possession of the 7th seed in the Western Conference, and have the makeup of a team no contender would want to face in the opening round of the playoffs.",6
1148,"So how have we gotten here? How has this team defied all odds and emerged from the depths of NBA purgatory? Well, let’s zone in one three specific reasons that allude to how this team has exceeded expectations.",7
1149,,8
1150,"Build your custom FanSided Daily email newsletter with news and analysis on Oklahoma City Thunder and all your favorite sports teams, TV shows, and more.",9
1151,"Your privacy is safe with us. We'll never pass along your email address to spammers, scammers, or the like.",10
1152,"Your favorite teams, topics, and players all on your favorite mobile devices.",11
1153,© 2020 FanSided Inc. All Rights Reserved.,12
1154,by Nolan Jensen,13
1155,by Paul Kasabian,14
1156,by Nolan Jensen,15
1157,by Nolan Jensen,16
1158,Chris Paul Oklahoma City Thunder (Photo by Michael Gonzales/NBAE via Getty Images),1
1159,"In an NBA offseason that saw the dynamic of the Oklahoma City Thunder drastically alter with the departure of two franchise cornerstones Russell Westbrook and Paul George, the organization was presumedly set to endure a prolonged rebuild.",2
1160,"The return hauls were something to marvel at, as the Thunder received two top-4 protected picks and two pick swaps from the Houston Rockets for Westbrook and Danilo Gallinari, Shai Gilgeous-Alexander and five first-round draft picks from the LA Clippers for George.",3
1161,"However, the immediate future had many questioning which direction the team would enter.",4
1162,Would they offload their veterans to contenders for returning assets to fuel the rebuild? Would they attempt to retool and acquire complementary assets around their youthful talent and perhaps the likes of Chris Paul? Or would they ride it out and hope for the best?,5
1163,"Well, 54 games in the 2019/20 NBA season, the Thunder opted to not do anything drastic—or anything at all at the trade deadline—and are riding this thing out. They’re sitting at 32-22, in sole possession of the 7th seed in the Western Conference, and have the makeup of a team no contender would want to face in the opening round of the playoffs.",6
1164,"So how have we gotten here? How has this team defied all odds and emerged from the depths of NBA purgatory? Well, let’s zone in one three specific reasons that allude to how this team has exceeded expectations.",7
1165,,8
1166,"Build your custom FanSided Daily email newsletter with news and analysis on Oklahoma City Thunder and all your favorite sports teams, TV shows, and more.",9
1167,"Your privacy is safe with us. We'll never pass along your email address to spammers, scammers, or the like.",10
1168,"Your favorite teams, topics, and players all on your favorite mobile devices.",11
1169,© 2020 FanSided Inc. All Rights Reserved.,12
1170,by Nolan Jensen,13
1171,by Paul Kasabian,14
1172,by Nolan Jensen,15
1173,by Nolan Jensen,16
1174,,1
